p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LAGE3	1.79632897467503e-22	0.361005740813374	0.26	0.1	3.18399310761149e-18
PLA2G7	1.91451692681189e-22	-1.05234242885721	0.219	0.358	3.39348125277407e-18
C20orf27	2.13424190490707e-22	0.41585672391551	0.352	0.16	3.78294377644778e-18
CORO1A	2.35068348674241e-22	0.381437550928303	0.853	0.619	4.16658648025093e-18
NDUFA12	3.38238925449796e-22	0.317803096404286	0.378	0.174	5.99528495359764e-18
RBM8A	6.03024736349779e-22	0.366448541016543	0.386	0.181	1.06886134517998e-17
PSMA6	6.89047327212073e-22	0.373389026036638	0.43	0.212	1.2213363874834e-17
GLO1	6.95413701292616e-22	0.343628843290479	0.287	0.116	1.23262078554116e-17
UQCRC1	7.97455757809234e-22	0.354003762052604	0.573	0.31	1.41349033071687e-17
HNRNPC	8.15297872604281e-22	0.354654442893649	0.66	0.381	1.44511547919109e-17
SPP1	8.17253003272051e-22	-0.931085682974198	0.789	0.82	1.44858094829971e-17
SRRM1	8.77920716942401e-22	0.382369069527707	0.521	0.275	1.55611447078041e-17
BAZ1B	8.81271277502386e-22	0.355826637653821	0.266	0.105	1.56205333937298e-17
DNAJA1	8.85635468085245e-22	0.34611086733076	0.404	0.194	1.5697888671811e-17
TUFM	9.11118712325396e-22	0.346252961065877	0.486	0.254	1.61495791759676e-17
PFDN2	9.77871966755814e-22	0.334010143928329	0.342	0.151	1.73327806107468e-17
RPL3	1.00996626288865e-21	0.329374524584372	0.958	0.807	1.79016520097012e-17
GTF2A2	1.05032082994307e-21	0.346280936206625	0.346	0.156	1.8616936710741e-17
NDUFAF8	1.15341557382687e-21	0.354964696842679	0.384	0.179	2.04442910460812e-17
ARPC5L	1.23072928988778e-21	0.34146672231933	0.274	0.109	2.18146766632608e-17
UBE2I	1.53190197380465e-21	0.369869970620949	0.461	0.239	2.71529624856874e-17
EIF4G2	2.29575351480206e-21	0.378003438570823	0.66	0.383	4.06922310498665e-17
MRPS7	2.59441171539459e-21	0.323447478285248	0.305	0.13	4.59859476553692e-17
IMP3	2.88020967096375e-21	0.295911476839026	0.279	0.112	5.10517164178324e-17
RPS17	2.97831553982522e-21	0.364515986035061	0.434	0.217	5.27906429434021e-17
EIF3B	3.12775356913238e-21	0.357839131233532	0.285	0.12	5.54394320128714e-17
NDUFS6	3.20060827470628e-21	0.325120743212213	0.642	0.37	5.67307816691689e-17
MEA1	3.37921265649176e-21	0.343230333689381	0.352	0.163	5.98965443363165e-17
BOLA3	3.76257864597447e-21	0.408258353247643	0.293	0.127	6.66917064998975e-17
IPO7	4.03477741415931e-21	0.351383470769407	0.252	0.099	7.15164296659738e-17
HCFC1	4.21376080526266e-21	0.326071125349882	0.265	0.105	7.46889102732807e-17
MAGOH	4.77476262854103e-21	0.331551548691409	0.252	0.098	8.46326675908898e-17
HADHA	4.78186555565866e-21	0.355159323256733	0.549	0.301	8.47585669740498e-17
PRELID1	5.01702635544088e-21	0.357471747397975	0.658	0.39	8.89267921501895e-17
SLC16A10	5.28011503487041e-21	-1.06798416056489	0.196	0.336	9.3590038993078e-17
SRSF9	5.3952867035458e-21	0.379802275001912	0.682	0.42	9.56314568203494e-17
HMGN3	6.93498417964873e-21	0.35848026578419	0.419	0.205	1.22922594584274e-16
NDUFS3	8.12975001945655e-21	0.349473355873238	0.391	0.187	1.44099819094867e-16
DAZAP1	1.12524546863506e-20	0.321624481067942	0.279	0.115	1.99449759315564e-16
RABL6	1.30364410551211e-20	0.305783253095525	0.35	0.161	2.31070917702021e-16
PDIA3	1.37976392022199e-20	0.357481949380602	0.548	0.303	2.44563154859347e-16
PAK1	1.38591931340819e-20	0.352229699370269	0.282	0.118	2.45654198301602e-16
EIF4G1	1.54238226743552e-20	0.348784814613467	0.448	0.228	2.73387256902946e-16
POLE4	1.55058085961277e-20	0.343946144507936	0.258	0.104	2.74840457366363e-16
VDAC1	1.65975396586272e-20	0.343979241984789	0.531	0.285	2.94191390449167e-16
RPS5	2.22185605473043e-20	0.313183521110748	0.965	0.785	3.9382398570097e-16
MTCH2	2.47395065811773e-20	0.322883098065742	0.42	0.209	4.38507754151367e-16
COX20	2.61750806861172e-20	0.337371369551848	0.275	0.114	4.63953305161428e-16
MRPL27	4.50970842829207e-20	0.322211470705747	0.28	0.119	7.99345818914769e-16
SPCS2	4.64250442714823e-20	0.341454968556292	0.347	0.162	8.22883909712023e-16
HNRNPF	5.00479309917258e-20	0.353695673595672	0.539	0.301	8.8709957682834e-16
BLVRB	5.10618174767665e-20	0.330907338996927	0.917	0.692	9.05070714775686e-16
PSMA4	5.27301220951797e-20	0.327295904473603	0.374	0.181	9.3464141413706e-16
SSBP1	5.94658751599524e-20	0.280046326984076	0.466	0.238	1.05403263721016e-15
NUTF2	6.01272588163272e-20	0.339948031697134	0.445	0.229	1.0657556625194e-15
AKR1B1	7.45567494073254e-20	0.27395937240143	0.347	0.16	1.32151838324484e-15
NPC2	7.76747731619714e-20	-0.452440999893414	0.892	0.852	1.37678535429594e-15
ARL4C	7.78478120318704e-20	-1.07930146002886	0.26	0.384	1.3798524682649e-15
PNN	7.8537287832766e-20	0.316042408920328	0.276	0.116	1.39207342683578e-15
POMP	8.41546929191768e-20	0.301724061757898	0.624	0.357	1.49164193199241e-15
LIPA	9.41195998395606e-20	-0.934485699055675	0.369	0.474	1.66826990715621e-15
PRPF40A	1.19689421674055e-19	0.313988415454562	0.443	0.225	2.12149499917262e-15
MRPL41	1.4227974739472e-19	0.337283361733706	0.636	0.377	2.52190852257141e-15
RPS21	1.83571617613079e-19	0.30431926959567	0.952	0.802	3.25380692219182e-15
NANS	2.01177495593431e-19	0.313508101991783	0.301	0.133	3.56587110939356e-15
HSP90B1	2.60994908456016e-19	0.368619212236731	0.771	0.528	4.62613475238288e-15
PIN1	2.84527764954012e-19	0.278124340392541	0.338	0.157	5.04325463380986e-15
PRDX4	2.94710166284537e-19	0.382598381410784	0.344	0.166	5.22373769739342e-15
MRPL57	2.96437824836282e-19	0.295419270152401	0.479	0.254	5.25436044522311e-15
RPS3	3.10158627335931e-19	0.263055998273665	0.977	0.908	5.49756166952938e-15
RBMX	3.51164124850747e-19	0.343747954546235	0.306	0.138	6.22438411297949e-15
PSMG2	3.61830441872447e-19	0.333942934818795	0.298	0.133	6.41344458218912e-15
RALY	3.94998762272979e-19	0.308640163152926	0.491	0.264	7.00135306128856e-15
CST3	4.36559993822097e-19	-0.338082378387449	0.982	0.97	7.73802589049667e-15
TIMM17B	4.48929348583845e-19	0.25358067238043	0.339	0.156	7.95727270364865e-15
EWSR1	4.97630274072102e-19	0.298280570644876	0.471	0.249	8.82049660792801e-15
HINT2	6.40805765191907e-19	0.311261579356508	0.259	0.108	1.13582821880266e-14
SSNA1	6.6089513252187e-19	0.329950751850034	0.344	0.164	1.17143662239502e-14
DHX9	7.66608373386687e-19	0.311422176643305	0.258	0.107	1.3588133418279e-14
GLRX3	7.79770115186626e-19	0.373185035361468	0.26	0.111	1.38214252916829e-14
DDX18	8.12138780953665e-19	0.290480878180637	0.317	0.145	1.43951598924037e-14
VIM	8.20425182310127e-19	0.296605419629447	0.945	0.774	1.4542036356447e-14
TRIM28	8.3485193157262e-19	0.311078721900307	0.426	0.217	1.47977504871247e-14
PPIF	9.05282914830222e-19	0.322090454666409	0.289	0.129	1.60461396653657e-14
BZW1	9.96436835198263e-19	0.297366423129088	0.402	0.201	1.76618429038892e-14
PPDPF	1.23479990723477e-18	0.318164882154418	0.677	0.407	2.18868283557362e-14
SEC13	1.33114453848282e-18	0.288394596555547	0.319	0.148	2.35945369446081e-14
AURKAIP1	1.34536666943914e-18	0.309021950857996	0.608	0.356	2.38466242158087e-14
IMMT	1.79745722959426e-18	0.286075073132394	0.321	0.148	3.18599293945582e-14
RDX	2.50820772452931e-18	0.306424832759717	0.28	0.124	4.4457981917282e-14
PHB	2.67347295184992e-18	0.307386246430214	0.329	0.155	4.73873080715399e-14
PSMD2	2.68326396802737e-18	0.28874775533936	0.453	0.239	4.75608538332851e-14
ERP29	3.43353046176726e-18	0.324452209082561	0.581	0.34	6.08593274348246e-14
MRPL54	4.32629602401487e-18	0.294618598864079	0.415	0.212	7.66835970256636e-14
TCEA1	4.92415147882258e-18	0.322899644834451	0.499	0.273	8.72805849621303e-14
ID3	6.35120720055383e-18	0.335916834732578	0.293	0.135	1.12575147629817e-13
KIF5B	6.93201255919671e-18	0.269158227105348	0.437	0.229	1.22869922611762e-13
H2AFY	7.27608525831713e-18	0.293119153917557	0.601	0.345	1.28968611203671e-13
METTL26	8.2930888143737e-18	0.281531294040121	0.315	0.148	1.46994999234774e-13
TMEM258	8.97550189344852e-18	0.326736405222297	0.614	0.362	1.59090771061375e-13
CCT8	9.35932180427448e-18	0.283537290668025	0.384	0.196	1.65893978980765e-13
CDK2AP2	1.05657390029661e-17	0.261272102891566	0.342	0.164	1.87277723827574e-13
PSMD7	1.1792336921421e-17	0.281074560926885	0.445	0.238	2.09019171932187e-13
SAT1	1.22589579393314e-17	-0.734947265515872	0.687	0.684	2.17290029474649e-13
MLEC	1.46048048170973e-17	0.290292264133283	0.5	0.275	2.58870165383049e-13
MRPL20	1.86089167447552e-17	0.320399582568499	0.468	0.256	3.29843049300787e-13
PSMB1	2.35717925640948e-17	0.336166519342202	0.611	0.369	4.1781002319858e-13
PDIA4	2.77923387920454e-17	0.26692295813032	0.357	0.179	4.92619205089005e-13
LGALS1	2.88180173658834e-17	-0.351235377883782	0.978	0.951	5.10799357810282e-13
NDUFB2	3.11926134739575e-17	0.304746690698677	0.756	0.496	5.52889073825897e-13
PRMT1	3.26714649458459e-17	0.330627256775254	0.3	0.141	5.79101716165119e-13
COMMD4	4.14808271502911e-17	0.330651223351816	0.316	0.153	7.35247661238909e-13
ADRM1	4.2222241731011e-17	0.277963061740409	0.371	0.188	7.4838923468217e-13
BCLAF1	4.29956944124858e-17	0.263623706743729	0.319	0.153	7.62098683461311e-13
UBE2N	4.32365567743805e-17	0.271796649943628	0.28	0.127	7.66367968825893e-13
ETFB	5.12631833287467e-17	0.304392765283841	0.324	0.157	9.08639924502035e-13
EIF3I	5.13311152565979e-17	0.250006332532597	0.367	0.184	9.09844017923197e-13
COX8A	5.57426040200645e-17	0.296800601492759	0.918	0.753	9.88037656255643e-13
AFG3L2	6.02840872737308e-17	0.280773197845412	0.276	0.126	1.06853544692688e-12
PSMB3	6.53448541294344e-17	0.285575687093337	0.61	0.363	1.15823753944422e-12
UQCRFS1	7.11809764841576e-17	0.325474220996063	0.585	0.35	1.26168280818169e-12
GNG5	9.8245538288816e-17	0.271725410389466	0.89	0.693	1.74140216616926e-12
AGR2	1.04787622953587e-16	0.340066734379062	0.542	0.332	1.85736061685233e-12
PPP1CC	1.06567147031981e-16	0.277003951272345	0.39	0.202	1.88890268114186e-12
S100B	1.39828854126038e-16	-0.724089572907721	0.581	0.609	2.47846643938403e-12
GSN	1.52816832261312e-16	-0.553391708708396	0.69	0.691	2.70867835183176e-12
NDUFS8	1.57704502778786e-16	0.272900463991375	0.562	0.326	2.79531231175398e-12
RTRAF	1.69020253314105e-16	0.252873806168178	0.373	0.189	2.99588398999252e-12
HNRNPM	2.32709188181496e-16	0.291726647096112	0.446	0.242	4.12477036051702e-12
OSTC	2.99198184445802e-16	0.299112385634017	0.364	0.188	5.30328781930185e-12
TECR	3.0162868998264e-16	0.287861434927518	0.484	0.271	5.34636852994229e-12
POLR2I	3.11894433803866e-16	0.265544810901613	0.264	0.119	5.52832883917352e-12
PSME3	3.24312894273543e-16	0.336301859938812	0.25	0.114	5.74844605099855e-12
ENOSF1	3.26664163735775e-16	0.292117279619205	0.306	0.148	5.7901223022166e-12
S100A9	3.32558861131606e-16	-0.444295027860668	0.911	0.874	5.89460581355771e-12
NAA20	3.8706198007204e-16	0.262283836403647	0.588	0.349	6.86067359677692e-12
NDUFV2	4.21054624421948e-16	0.292768319291632	0.646	0.405	7.46319321787904e-12
COA4	4.77654071944823e-16	0.269722400135126	0.278	0.131	8.46641842522199e-12
PNP	4.86277933375187e-16	0.259460725361847	0.256	0.116	8.61927636907519e-12
MRPL52	5.14864537097263e-16	0.304278632513291	0.505	0.294	9.12597392004899e-12
SF3A1	5.42327442221235e-16	0.276998949868684	0.271	0.126	9.6127539133714e-12
SRP72	6.45813227789714e-16	0.289493007325662	0.3	0.146	1.14470394625727e-11
ARL6IP4	7.61767762164568e-16	0.285411473775962	0.593	0.354	1.3502333584367e-11
RPL14	8.15544643188664e-16	0.252810549766235	0.949	0.798	1.44555288005191e-11
DNTTIP1	1.01667013259722e-15	0.303536590097806	0.267	0.126	1.80204781002857e-11
VDAC2	1.10502647369072e-15	0.272001707526925	0.473	0.266	1.95865942461679e-11
SRP9	1.27045491967792e-15	0.263957963547402	0.373	0.194	2.25188134512912e-11
RSL1D1	1.33376705878059e-15	0.253525592127049	0.29	0.139	2.36410211168859e-11
TOMM22	1.37180878034944e-15	0.251959054082279	0.329	0.164	2.43153106316937e-11
RBM25	1.50217897392667e-15	0.259678194245422	0.378	0.201	2.66261223128502e-11
RBM42	1.54861492799288e-15	0.259519074326542	0.292	0.141	2.74491995986738e-11
ENG	1.69985642685394e-15	-0.774113552440143	0.457	0.501	3.0129955165986e-11
GTF3C6	2.14478099342468e-15	0.256615481763427	0.407	0.219	3.80162431084524e-11
MYL12A	2.35087477235364e-15	-0.451866645497013	0.829	0.786	4.16692553399682e-11
EIF3M	2.50880191208573e-15	0.26226703241046	0.348	0.179	4.44685138917195e-11
GPI	2.61031092019602e-15	0.262576720259207	0.567	0.335	4.62677610604744e-11
DDOST	2.7399812983528e-15	0.253253210170563	0.425	0.234	4.85661685133033e-11
ATP5F1B	3.22688407627806e-15	0.276083089242795	0.868	0.655	5.71965202520286e-11
ELOC	3.74550396884763e-15	0.274063649118283	0.494	0.28	6.63890578478242e-11
PTPRE	5.39303715174709e-15	-0.793198629343755	0.397	0.462	9.55915835147172e-11
PPP1CA	5.61649549092084e-15	0.292314329095722	0.735	0.473	9.9552382576572e-11
NDUFB6	6.39357930866339e-15	0.262430978966238	0.317	0.16	1.13326193246059e-10
ACP1	7.39107416347904e-15	0.271901123236955	0.282	0.138	1.31006789547666e-10
MDH2	7.47921599904684e-15	0.266255476683327	0.577	0.348	1.32569103583105e-10
MTHFD2	7.66516260289976e-15	0.255259680460729	0.286	0.141	1.35865007136398e-10
THRAP3	8.32016471941783e-15	0.281011379173049	0.316	0.162	1.47474919651681e-10
RPL17	9.34249012788671e-15	0.275762438555863	0.648	0.405	1.65595637516792e-10
PSMA7	9.40913051788054e-15	0.28533542556941	0.764	0.503	1.66776838429433e-10
ATP5F1A	1.02167739547054e-14	0.267552213389502	0.693	0.43	1.81092318347154e-10
ALOX5AP	1.45012805976891e-14	0.287410362756485	0.522	0.314	2.57035198594039e-10
SPATS2L	1.6503359316123e-14	0.270107383500459	0.256	0.122	2.9252204387828e-10
BRI3	1.66360405779107e-14	-0.398752002631617	0.903	0.854	2.94873819243467e-10
GADD45GIP1	1.86069580230688e-14	0.251219599247056	0.502	0.295	3.29808330958895e-10
FSCN1	2.43186752892134e-14	0.26715984209135	0.831	0.613	4.31048519501307e-10
GPN3	2.66756446379266e-14	0.272304197500247	0.287	0.143	4.72825801207249e-10
NDUFA6	2.847746192951e-14	0.264957593036563	0.668	0.429	5.04763012700564e-10
COX7B	3.69022539016368e-14	0.277162374987999	0.793	0.551	6.54092450406512e-10
ATP5F1E	4.88745275378446e-14	-0.313689196112251	0.963	0.937	8.66301000608296e-10
SF3B5	8.41833560785066e-14	0.258903734210205	0.44	0.249	1.49214998649153e-09
RNASE1	8.81008933030813e-14	-0.672379302908991	0.62	0.667	1.56158833379712e-09
ATP6V0E1	1.09659806903508e-13	-0.660925415422302	0.589	0.578	1.94372007736467e-09
LGMN	1.19776755048911e-13	-0.820936253300678	0.445	0.492	2.12304298324195e-09
SNX6	6.01785416744872e-13	-0.409592102000232	0.812	0.789	1.06666465118029e-08
PSMD3	7.04854914009091e-13	0.284506737750862	0.259	0.131	1.24935533508111e-08
ZFP36L1	1.65497200320675e-12	-0.542098998484663	0.636	0.632	2.93343787568396e-08
APRT	1.67472861272543e-12	0.269960515946334	0.635	0.414	2.96845646605582e-08
CAPZB	1.68400966571238e-12	-0.428154400500096	0.803	0.734	2.9849071324752e-08
MXD4	1.75457940218318e-12	-0.81299477736315	0.189	0.282	3.10999199036969e-08
B2M	2.80767551760915e-12	-0.270695227323527	0.972	0.936	4.97660485496221e-08
ATP5F1C	3.19412313780821e-12	0.254857722781971	0.584	0.376	5.66158326176506e-08
CCND1	5.39771294191934e-12	-0.822237131301818	0.176	0.271	9.56744618955203e-08
GRN	6.65211955868553e-12	-0.424402473609703	0.774	0.716	1.17908819177701e-07
RGS10	9.46689115609836e-12	-0.470110765169913	0.759	0.697	1.67800645741843e-07
FCGR2A	1.37332955742764e-11	-0.846632460808611	0.315	0.38	2.43422664054048e-07
TYMP	1.64857575356501e-11	-0.807422776895317	0.339	0.398	2.92210052319398e-07
ATP6V1F	1.99588559329587e-11	-0.424805891736741	0.781	0.718	3.53770721411692e-07
PSAP	2.01523864801081e-11	-0.435664512206009	0.823	0.77	3.57201050359917e-07
LRP1	2.46048271709119e-11	-0.825930134149411	0.199	0.286	4.36120561604413e-07
TREM2	3.09436371160175e-11	-0.723133514806746	0.452	0.483	5.4847596788141e-07
HMOX1	3.41849205361986e-11	-0.85460630109816	0.275	0.344	6.0592771650412e-07
GABARAP	4.10727979344143e-11	-0.342259188712242	0.894	0.823	7.28015343387494e-07
ANXA5	6.6560334017693e-11	-0.347528622574254	0.877	0.843	1.17978192046361e-06
TIMP1	1.30394943178509e-10	-0.750246640600016	0.497	0.514	2.31125036783908e-06
FPR1	1.44569924294481e-10	-0.863457530467629	0.198	0.28	2.56250190811968e-06
S100A10	3.35069074239525e-10	-0.634190091302976	0.583	0.6	5.93909934089559e-06
CTSD	2.442262659495e-09	-0.674845879470524	0.45	0.482	4.3289105639549e-05
MAF	5.00654629795543e-09	-0.435302496741565	0.71	0.665	8.874103313126e-05
PYGL	8.28211317350744e-09	-0.449711001695384	0.655	0.635	0.000146800456000419
SQSTM1	9.24746765088006e-09	-0.764541389712093	0.368	0.399	0.000163911364111849
LPAR6	9.58843778013674e-09	-0.690300890318399	0.237	0.301	0.000169955059652924
HIF1A	1.68011844380543e-08	-0.701497714942812	0.372	0.407	0.000297800994164512
ANKH	2.00950924423699e-08	-0.66403024494412	0.407	0.432	0.000356185513541007
SLCO2B1	3.34319987298302e-08	-0.720178459518072	0.237	0.297	0.000592582177486241
PLAUR	3.50909679098823e-08	-0.780899892824996	0.24	0.302	0.000621987406202664
PTPN6	4.83193262773239e-08	-0.560565388836633	0.506	0.499	0.000856460058265567
CREG1	7.27726770741285e-08	-0.565028127353292	0.522	0.511	0.00128989570113893
SAMHD1	8.4501893302089e-08	-0.400189948286275	0.754	0.696	0.00149779605877953
FUCA1	1.2330855259281e-07	-0.782171910763251	0.269	0.327	0.00218564409470756
PLTP	1.27473925500589e-07	-0.816588191014952	0.201	0.261	0.00225947532949795
SPI1	1.98845212693038e-07	-0.283337377274389	0.87	0.789	0.00352453139498409
APBB3	2.91685023382237e-07	-0.725701982405456	0.2	0.258	0.00517011703945016
MYO9B	4.40780554991868e-07	-0.661320876790225	0.276	0.323	0.00781283533723085
FCGRT	4.76208875685832e-07	-0.261797754094815	0.911	0.841	0.00844080232153138
PNRC1	7.43411250976258e-07	-0.679701272306156	0.259	0.302	0.0131769644235542
PLD3	8.28649450989683e-07	-0.348383142213441	0.835	0.745	0.0146878115187921
CEBPD	1.14437961548423e-06	-0.670445755680296	0.364	0.386	0.0202841286844579
NACA	1.22341593792939e-06	-0.258106272966626	0.897	0.837	0.0216850474997984
TESC	2.48338094403855e-06	-0.3861877682294	0.727	0.665	0.0440179272330832
ITGB2	6.97590182258782e-06	-0.366053026039856	0.795	0.692	0.123647859805369
CALM1	9.85197674966297e-06	-0.300727965969096	0.881	0.804	0.174626287887776
CYFIP1	1.4693784784618e-05	-0.432025176512462	0.585	0.547	0.260447335307355
METRNL	1.5486786285604e-05	-0.58400434214821	0.208	0.254	0.274503286912331
ATP1B1	1.94433357593321e-05	-0.44479654999049	0.666	0.6	0.344633126334162
CD68	2.12075536801245e-05	-0.492899646768129	0.509	0.492	0.375903888980207
SPARC	3.82151050276897e-05	-0.712627259282737	0.258	0.295	0.6773627366158
BID	5.75651401047053e-05	-0.540615842389042	0.437	0.429	1
TTYH3	5.87450928198595e-05	-0.503548353248006	0.451	0.444	1
A2M	7.25867565031833e-05	-0.62624682050592	0.394	0.388	1
CD14	0.000123595437171938	-0.418831110999367	0.708	0.663	1
CD63	0.000142570911909823	-0.259206453175152	0.847	0.746	1
HCST	0.00018465174159627	-0.449487286031431	0.536	0.504	1
SDCBP	0.000192716573071652	-0.518701481034303	0.383	0.386	1
RAB13	0.000217216716851111	-0.6095448918222	0.292	0.311	1
MRC1	0.000245721737274781	-0.325866802434558	0.66	0.619	1
CPVL	0.000344060521258664	-0.567368532657218	0.39	0.383	1
VSIR	0.000462718659551206	-0.591249642638882	0.242	0.268	1
NAIP	0.000761455125997325	-0.437238032716007	0.475	0.44	1
RBM47	0.000797358534814932	-0.586744184125354	0.284	0.293	1
ATP6V0C	0.00082353083462351	-0.321427553428756	0.614	0.554	1
GRINA	0.000977494036181709	-0.576520321056117	0.241	0.265	1
NCOA4	0.00113951349254085	-0.510661703820344	0.338	0.341	1
MKNK1	0.00117182951909067	-0.440640145350909	0.461	0.432	1
ADAM9	0.00117992910525079	-0.567232646132264	0.316	0.323	1
NINJ1	0.00132589228428171	-0.274649137698546	0.728	0.643	1
C3AR1	0.00150013200524422	-0.477056374060208	0.235	0.256	1
OAZ1	0.00152610668044794	-0.251993451542881	0.886	0.8	1
C4orf48	0.00171162553483786	-0.458449824753085	0.465	0.432	1
MMP24OS	0.00176726793617768	-0.598125660231764	0.357	0.346	1
NRP1	0.00182369184485012	-0.448217557903483	0.419	0.401	1
ZEB2	0.00198614760773709	-0.524130411065391	0.394	0.376	1
LYN	0.00353487158055657	-0.512205416814347	0.341	0.335	1
ARRB2	0.00415591182534993	-0.358070122280978	0.632	0.545	1
CTSL	0.00459975372118772	-0.494745315507816	0.371	0.361	1
TNFRSF1B	0.00504600253081207	-0.465635550881589	0.496	0.449	1
CTSS	0.00575221086812848	-0.427427434426607	0.432	0.403	1
CD99	0.00606114702312158	-0.294628380187355	0.781	0.679	1
APLP2	0.00642743539494497	-0.404038383039629	0.633	0.541	1
TGFBR2	0.00766755490102784	-0.507204114876621	0.312	0.308	1
SLC12A5	0.00922815289691276	-0.50940526294685	0.268	0.273	1
MPP1	0.0101904778202257	-0.460047089855368	0.423	0.391	1
OGFRL1	0.0126416169455555	-0.359136623867338	0.688	0.585	1
QKI	0.0142203841650902	-0.442495963870821	0.462	0.42	1
WSB1	0.0200426615026145	-0.445029594747201	0.433	0.395	1
PLEC	0.0201646816846573	-0.470784927420474	0.307	0.305	1
GRB2	0.0206336894937022	-0.334656455298261	0.668	0.565	1
VSIG4	0.0217439801461697	-0.471092001014343	0.457	0.407	1
MAP1LC3B	0.0234136837370604	-0.433506266135029	0.276	0.28	1
SEC14L1	0.0239692233878162	-0.489419630210298	0.285	0.282	1
SYNGR2	0.0284288337094552	-0.444604673326851	0.39	0.362	1
MYO1F	0.0338129351692888	-0.439354156493477	0.35	0.329	1
HLA-E	0.039619405783354	-0.432123905862228	0.384	0.361	1
CD93	0.0449513679445195	-0.455581729089511	0.26	0.263	1
CTSZ	0.0463381237030284	-0.275252786330599	0.642	0.556	1
ATP6AP2	0.0491681537407177	-0.40190462969122	0.474	0.422	1
AP1B1	0.0544803663570177	-0.269460645836614	0.677	0.561	1
FCGR1A	0.0618236144964217	-0.417937525554507	0.374	0.347	1
GLRX	0.0648139656812393	-0.394428012749453	0.46	0.407	1
TCIRG1	0.0705574889287591	-0.252936590990299	0.326	0.246	1
IDH1	0.0807848167497924	-0.387500316373436	0.433	0.384	1
GPR34	0.0860205205691284	-0.37547132103011	0.387	0.354	1
ADAP2	0.0962418859458135	-0.264450554077256	0.614	0.528	1
CTSC	0.100217569689964	-0.302358633208555	0.644	0.543	1
PLSCR1	0.113818999039429	-0.441640827386137	0.262	0.254	1
GPSM3	0.115566310271063	-0.331560217726953	0.526	0.454	1
MEF2C	0.119382407980668	-0.297883192662469	0.614	0.516	1
KCTD12	0.121569482937425	-0.328786554790673	0.587	0.499	1
CORO1B	0.141771661750539	-0.318657153743447	0.553	0.468	1
S100A6	0.157400072048599	-0.401757313516862	0.539	0.476	1
SH3BGRL	0.158596114826832	-0.387620642379124	0.431	0.378	1
CD36	0.15894712891374	-0.252048151140328	0.637	0.537	1
ATP6V1G1	0.161209822320016	-0.264988586485852	0.584	0.498	1
MYL12B	0.164192642476617	-0.302917326410084	0.611	0.51	1
GAS7	0.17329190840099	-0.383204731249166	0.268	0.258	1
ITGB1	0.184689611184624	-0.272527848621585	0.416	0.316	1
ASAH1	0.185349391284407	-0.39988901289021	0.458	0.393	1
SMAP2	0.187465841526997	-0.449093001117103	0.272	0.252	1
NDUFA2	0.190610940819565	-0.294337196534198	0.729	0.592	1
DAZAP2	0.198061266416482	-0.345487147410674	0.41	0.362	1
BNIP3L	0.213045592753492	-0.374480801179073	0.254	0.243	1
PRKAR1A	0.222343918518911	-0.414377795663607	0.297	0.271	1
RNF130	0.232398452534528	-0.302646717189028	0.49	0.425	1
EFHD2	0.242371730962564	-0.256647512877048	0.597	0.505	1
RAP1A	0.253406109828113	-0.365786803662208	0.443	0.381	1
MMP14	0.257514961567599	-0.382944178555551	0.303	0.28	1
LIMS1	0.258669251149845	-0.252270463592418	0.413	0.323	1
BMP2K	0.279273279160913	-0.403147086114236	0.344	0.305	1
CEBPB	0.281219531800835	-0.366055030914439	0.331	0.302	1
ANXA4	0.298901782789194	-0.369194970967417	0.265	0.249	1
MFSD1	0.301469817873994	-0.267292603924456	0.51	0.427	1
CASP1	0.348756338792787	-0.284342770006099	0.258	0.21	1
CAPG	0.359982008445955	-0.309354586167975	0.553	0.481	1
FKBP8	0.372410129197698	-0.279650053653664	0.463	0.396	1
LAPTM4A	0.386882070041959	-0.269450755866579	0.255	0.21	1
GMFG	0.421827357357384	-0.302555100768743	0.537	0.449	1
LGALS3	0.426524911387183	-0.410168639153726	0.255	0.24	1
CD53	0.427622563513362	-0.405880958673057	0.331	0.29	1
CD4	0.434210728138684	-0.376950799289035	0.268	0.246	1
ADIPOR1	0.470060751401559	-0.329743339521879	0.259	0.239	1
TIMP2	0.489829582158258	-0.309235470674428	0.444	0.374	1
CTNNB1	0.515621177408785	-0.267734275430536	0.3	0.245	1
HCK	0.52694165840835	-0.272854890659437	0.346	0.28	1
EVL	0.530886010507453	-0.263969735710939	0.273	0.226	1
COLEC12	0.532611834125224	-0.303616949157429	0.383	0.308	1
DUSP6	0.533054889754944	-0.327614416284265	0.288	0.235	1
RAP2A	0.541707598409082	-0.313007786539947	0.265	0.218	1
SLC16A3	0.560366967416903	-0.268694163010974	0.451	0.38	1
TPD52L2	0.572112165792999	-0.255352011459731	0.497	0.389	1
SUPT4H1	0.579892914821834	-0.372023531753279	0.287	0.253	1
NFKBIA	0.581743262626834	-0.388143651396188	0.266	0.223	1
SLC7A7	0.593566543275731	-0.275960848519882	0.255	0.217	1
NISCH	0.62572719613568	-0.346953617352604	0.271	0.244	1
PARVG	0.651141463671768	-0.285299268427198	0.338	0.297	1
BST2	0.660211484046522	-0.253959640846646	0.459	0.39	1
LASP1	0.680250872509081	-0.338150167841865	0.282	0.25	1
MACF1	0.697606304971886	-0.353583222148698	0.334	0.289	1
